model,dataset,K,effective_K,auroc
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,7,7,0.811577928
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,7,7,0.7875559378125
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,7,7,0.600807338
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,8,8,0.8530439454787091
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,8,8,0.9343446234119782
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,8,8,0.8751911126666667
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,8,8,0.828155032
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,8,8,0.799665110625
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,8,8,0.6057397640000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,9,9,0.8530773469086175
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,9,9,0.9344175351633395
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,9,9,0.8762091059999999
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,9,9,0.834453992
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,9,9,0.8066189384375
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,9,9,0.6067112139999999
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,10,10,0.8475456731362607
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,10,10,0.9356801724137931
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,10,10,0.8758634860000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,10,10,0.8260541640000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,10,10,0.7987823865624999
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,10,10,0.6010324060000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,11,11,0.8454932078944191
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,11,11,0.9379398434664246
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,11,11,0.8801418293333334
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,11,11,0.829472998
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,11,11,0.803736085625
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,11,11,0.600640266
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,12,12,0.8449165007397625
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,12,12,0.9377746676497278
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,12,12,0.8803900060000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,12,12,0.8310931779999999
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,12,12,0.8063511968749999
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,12,12,0.60064513
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,13,13,0.8445463684194436
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,13,13,0.937654802631579
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,13,13,0.8804471226666668
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,13,13,0.8317854020000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,13,13,0.807254999375
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,13,13,0.600696636
